id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Desert Wind,Sahara Groove,world,relaxed,0.52,98,0.74,0.67,0.62
12,Neon Pulse,Circuit Phantom,electronic,energetic,0.89,140,0.62,0.91,0.04
13,Mountain Echo,The Pines,folk,melancholy,0.31,72,0.38,0.42,0.93
14,Blazing Keys,Ivory Storm,classical,focused,0.44,88,0.55,0.33,0.81
15,Midnight Gospel,Soul Theory,r&b,romantic,0.61,96,0.79,0.71,0.30
16,Frozen Peaks,Arctic Drift,ambient,melancholy,0.22,55,0.30,0.28,0.97
17,Adrenaline Rush,Iron Curtain,metal,intense,0.96,168,0.35,0.58,0.03
18,Backyard Groove,The Commons,funk,happy,0.72,110,0.88,0.86,0.19
